indice_tiempo,gpc_pib,gpc_funcionamiento_estado_pib,gpc_administracion_general_pib,gpc_justicia_pib,gpc_defensa_seguridad_pib,gpc_servicios_sociales_pib,gpc_educacion_basica_pib,gpc_educacion_universitaria_pib,gpc_ciencia_tecnica_pib,gpc_cultura_pib,gpc_educacion_cultura_sin_discriminar_pib,gpc_atencion_salud_pib,gpc_obras_sociales_salud_pib,gpc_inssjyp_salud_pib,gpc_agua_alcantarillado_pib,gpc_vivienda_urbanismo_pib,gpc_promocion_asistencia_social_pib,gpc_obras_sociales_prestaciones_pib,gpc_inssjyp_prestaciones_pib,gpc_prevision_social_pib,gpc_programas_empleo_pib,gpc_asignaciones_familiares_pib,gpc_otros_servicios_urbanos_pib,gpc_servicios_economicos_pib,gpc_produccion_primaria_pib,gpc_energia_combustible_pib,gpc_industria_pib,gpc_transporte_pib,gpc_comunicaciones_pib,gpc_otros_servicios_economicos_pib,gpc_servicios_deuda_publica_pib
1980-01-01,29.037146492159888,5.369654029605446,1.8496152967394681,0.3288453381111807,3.1911933947547966,14.505473634208382,2.0249787327700455,0.4533099914889446,0.2512318058508519,0.07043882407033232,0.18783686418755285,1.1608718414747343,1.6021218796724024,0.4148846737742573,0.2394747352277022,0.7818709471806887,0.46952296111152414,0.23511278644314568,0.031227878671180664,5.178206841255177,0.025827568825788516,0.7706711741535058,0.6078841280505471,6.856185138717315,0.5157656367449781,2.420109672645158,0.44883551955245343,2.304964068946642,0.5239811434241439,0.6425290974039398,2.305833689628747
1981-01-01,31.342549678033965,5.242685851965553,1.849448850614332,0.28600446492568016,3.107232536425541,14.889771520882219,1.8412222258951134,0.4759153665398976,0.2686357727237158,0.07526433287517899,0.2605303830294657,1.266479101073662,2.1978075894184204,0.506123690765242,0.19991112400659705,0.4504280844376096,0.5128678731006663,0.33170934518209794,0.03809533156297522,5.310072371265897,0.020842430642357256,0.5071658122973599,0.6267006860659607,6.480018462184561,0.3210401684573625,2.870761109640431,0.3505416750338607,1.8827947153292792,0.4097576840948674,0.6451231096287603,4.730073843001634
1982-01-01,28.046671375213627,4.3542212551103185,1.3331839319960317,0.22136957250764813,2.79966775060664,10.88641035875775,1.3341156621267847,0.34584023831156524,0.22335673204541875,0.055640467057577636,0.2162029577094445,0.9312645104031125,1.7291359000541997,0.4250534251291377,0.1545305032266787,0.4578415575023531,0.3161195426348507,0.2622893133534733,0.03199326855810714,3.646636467762883,0.015102412487056786,0.33781712142100706,0.40347027897409893,6.691549863625333,0.2752150463597561,3.1832869069726275,0.4180826465596034,1.7823116240563022,0.3845145499365982,0.6481390897404447,6.114489897720228
1983-01-01,25.92035600792439,4.27225053811308,1.4348292161520688,0.26348460441942456,2.573936717541587,11.419618136849012,1.585915759307547,0.3610148441502384,0.22087996195873683,0.056374203712240854,0.24428821608637707,0.9902489705109883,1.652887506101249,0.4813433626447323,0.14869178553732534,0.6708206252080156,0.3557995001331108,0.24692508392917117,0.03623014557540997,3.4574558328458536,0.014336543185440566,0.4469437587415877,0.449462037220989,6.920552735824491,0.29517803130544357,2.9198395319383645,0.5251734218050623,1.8014818536264605,0.43568808135126286,0.9431918157978959,3.307934597137811
1984-01-01,26.581640200977535,3.858345303863814,1.5214595243421785,0.31413052277895215,2.0227552567426836,12.966215390198954,2.092352106639437,0.43511897186118065,0.18831712426561625,0.0814772155176039,0.2793504532032134,1.20555957231099,1.691085966418636,0.5206743259641393,0.1932508149056073,0.5928032904060581,0.5012250252985124,0.23964052643448028,0.03919054066396748,4.044854887155927,0.018425490309195283,0.38552690462486805,0.45736217421951897,6.686062193717013,0.36726128006855446,2.6809001926931213,0.364329069969511,2.0717302563546185,0.30952810071978576,0.8923132939114212,3.0710173131977565
1985-01-01,29.95394279819676,4.311290119206769,1.9051746478213216,0.353657551061509,2.052457920323938,14.945165951527036,2.0523070238516854,0.45205871521222984,0.2441161445558234,0.087484765795333,0.2907186063352604,1.2442365113434997,1.689713404531451,0.5579475530544737,0.17671092044643918,0.5878989720641115,0.6865928880148368,0.2443728792822951,0.04199605238044427,5.513439673963343,0.022375911251498633,0.43972871607550357,0.6134672133688092,7.018695460671431,0.36596141779717445,2.487840926139397,0.3882396500052057,1.9548782657210717,0.2543358588869473,1.5674393421216353,3.6787912667915186
1986-01-01,32.1536192846632,5.110077155232283,2.220023620860463,0.43517296778604064,2.4548805665857794,17.240367979629113,2.543233058109031,0.5049473375015512,0.28551745853722615,0.08812388661707016,0.2976148224366677,1.5215687076022535,1.8970259548000596,0.6172252096088728,0.1847535915901781,0.7435452933315293,0.7209398000567773,0.2725329903851525,0.04645781147593668,6.072690791196324,0.020457330821819854,0.6895005659921544,0.7342333695665063,6.971112414156116,0.45107568064982445,2.3277772054755625,0.3349055228297633,1.8808002635799606,0.3953653158076529,1.581188425813353,2.832061735645686
1987-01-01,34.63795239629475,5.537820052591194,2.4830103600891187,0.4803683219617315,2.5744413705403435,18.675891297557115,2.694666174855234,0.6254936395374215,0.30942412609729114,0.1271752629481982,0.3136989819388889,1.55870342962061,2.0543604068131187,0.5913649727091216,0.18290042676190138,0.8327012300304857,0.7957974840575058,0.27718608057051475,0.04451134203186937,6.853245576979032,0.021916536981406158,0.5926367253386036,0.8001089002859134,7.712099268925457,0.4182836518197085,2.897231101768876,0.29464383109637166,1.9523277193312867,0.5855303302015045,1.5640826347077104,2.7121417772209906
1988-01-01,32.17466608209033,5.237563313369376,2.3221556242567005,0.4763125892978997,2.439095099814777,16.67842548165526,2.4360647248594054,0.6081390097260658,0.2925671006776028,0.12774490712453435,0.2919883591417928,1.4179716966312463,2.0611274523581353,0.5855279064415263,0.17731731284593666,0.6387610341675646,0.695313836143924,0.2656547845530257,0.04407199295796435,5.960205755636407,0.019955579420096903,0.3444641420613069,0.7115498869087225,7.999547475518623,0.38341390743635345,2.543642041855117,0.2675315799605682,1.8006922721030136,1.2081747325521526,1.7960929416114175,2.2591298115470795
1989-01-01,31.713259029296697,4.689908355965186,2.147155346456109,0.42437138355229953,2.1183816259567783,16.608963267245937,2.1198566925788724,0.4806009392003291,0.24912219567340232,0.09574519560832298,0.24144440631664058,1.3270247191419344,1.802469416601965,0.46130070422973884,0.1351839237865756,0.5077257058725002,0.8382799264778615,0.2156258882593188,0.03472155838288358,7.083074663820171,0.014735848139767185,0.3590298256629306,0.64302165749272,7.592897150919279,0.32135806533124495,2.4787836815317585,0.24383292617658398,1.2916332278264755,0.5081956493956253,2.74909360065759,2.8214902551662946
